                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.7783,                 3.5482,                 4.1744,                0.00167,                0.02887,                0.00086,                0.00021,                 4.6665,                 3.1663,                 3.8048,                 0.0838,                 0.0018,                 0.0018
                      1,                  3.957,                 2.7095,                 3.7732,                0.00218,                0.03772,                0.00113,                0.00031,                  4.252,                 3.0948,                 3.6062,               0.066578,              0.0035779,              0.0035779
                      2,                 3.2526,                 2.1588,                 3.1787,                0.01212,                0.20997,                0.00756,                0.00216,                  4.144,                 3.2558,                 3.5333,                0.04923,              0.0052304,              0.0052304
                      3,                 2.8236,                 1.8374,                 2.6486,                0.00013,                0.00231,                  7e-05,                  1e-05,                 4.1415,                 3.3952,                  3.531,               0.031758,              0.0067575,              0.0067575
                      4,                  2.432,                 1.6228,                 2.3309,                0.03616,                0.62625,                0.17537,                0.04591,                 3.2826,                 3.0077,                 3.1475,               0.014159,              0.0081592,              0.0081592
                      5,                 2.2402,                 1.3711,                 2.1321,                0.39755,                0.39319,                0.36424,                0.15095,                 2.3906,                 1.8781,                 2.3461,                0.00835,                0.00835,                0.00835
                      6,                 2.0708,                 1.2839,                 1.9736,                0.70559,                 0.6174,                0.73531,                0.42019,                  1.704,                 1.3902,                 1.8758,                0.00835,                0.00835,                0.00835
                      7,                 1.9346,                 1.2159,                 1.8579,                0.80165,                0.72495,                0.83747,                0.47232,                 1.5034,                 1.1769,                 1.7058,                0.00802,                0.00802,                0.00802
                      8,                 1.7374,                 1.1291,                 1.7461,                0.84252,                0.76809,                0.87517,                0.50104,                 1.4174,                 1.1095,                 1.5918,                0.00769,                0.00769,                0.00769
                      9,                 1.5978,                 1.0302,                  1.623,                0.90887,                0.82948,                0.92759,                0.58467,                 1.4056,                0.99851,                  1.567,                0.00736,                0.00736,                0.00736
                     10,                 1.4592,                0.99897,                  1.539,                0.90313,                 0.8361,                0.92512,                0.59727,                 1.2746,                 1.0701,                  1.409,                0.00703,                0.00703,                0.00703
                     11,                 1.3766,                0.91228,                  1.437,                0.93028,                 0.8679,                 0.9438,                0.69057,                 1.0381,                0.84738,                  1.288,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.3334,                0.86463,                 1.3932,                0.94222,                0.88684,                0.95095,                0.63132,                 1.2436,                 0.8754,                 1.4275,                0.00637,                0.00637,                0.00637
                     13,                 1.2451,                0.82124,                  1.342,                0.93805,                0.89472,                0.95389,                0.69894,                0.96946,                 0.7971,                 1.2238,                0.00604,                0.00604,                0.00604
                     14,                 1.1808,                0.78812,                  1.304,                0.96441,                0.91275,                0.96232,                0.71985,                0.97857,                0.75085,                 1.2327,                0.00571,                0.00571,                0.00571
                     15,                 1.1558,                  0.784,                    1.3,                 0.9614,                0.90435,                 0.9599,                0.71153,                0.98901,                0.72452,                 1.2037,                0.00538,                0.00538,                0.00538
                     16,                   1.11,                 0.7507,                 1.2811,                0.95249,                0.91438,                0.96194,                0.72296,                0.93819,                0.74166,                 1.1854,                0.00505,                0.00505,                0.00505
                     17,                 1.0691,                0.72025,                 1.2413,                0.97412,                0.92167,                0.96828,                 0.7934,                0.71624,                 0.6188,                 1.0926,                0.00472,                0.00472,                0.00472
                     18,                 1.0777,                0.71085,                 1.2327,                0.97329,                0.92559,                0.96789,                0.76345,                0.80115,                0.64964,                 1.1159,                0.00439,                0.00439,                0.00439
                     19,                 1.0294,                0.68849,                 1.2045,                0.97709,                0.93072,                 0.9707,                0.79826,                0.71727,                 0.5941,                 1.0859,                0.00406,                0.00406,                0.00406
                     20,                0.97561,                0.67294,                 1.1936,                0.97812,                0.93533,                0.97205,                0.78994,                0.75164,                0.59434,                 1.1013,                0.00373,                0.00373,                0.00373
                     21,                 0.9461,                0.66278,                 1.1759,                0.97613,                0.92494,                0.96957,                0.79182,                0.71422,                0.59982,                 1.0745,                 0.0034,                 0.0034,                 0.0034
                     22,                0.94032,                 0.6453,                 1.1603,                0.95846,                0.91147,                0.96352,                0.78138,                0.74694,                0.61859,                 1.1081,                0.00307,                0.00307,                0.00307
                     23,                0.91054,                0.63137,                 1.1468,                0.98323,                0.93628,                0.97099,                0.80855,                0.67843,                0.56518,                 1.0809,                0.00274,                0.00274,                0.00274
                     24,                0.88919,                0.61556,                 1.1329,                0.98031,                0.93437,                0.97386,                0.80648,                0.69269,                0.55715,                 1.0696,                0.00241,                0.00241,                0.00241
                     25,                0.89321,                0.63152,                 1.1615,                0.98352,                0.93707,                0.97386,                0.82028,                0.63655,                0.56185,                 1.0472,                0.00208,                0.00208,                0.00208
                     26,                0.88455,                0.60127,                 1.1152,                 0.9837,                0.93572,                0.97334,                0.82381,                0.62672,                0.52002,                 1.0446,                0.00175,                0.00175,                0.00175
                     27,                0.83476,                0.59906,                 1.1241,                0.98437,                0.93346,                0.97476,                 0.8273,                0.60182,                0.53035,                 1.0339,                0.00142,                0.00142,                0.00142
                     28,                0.85417,                 0.6089,                 1.1363,                  0.986,                 0.9363,                0.97225,                0.81502,                0.62637,                0.53367,                 1.0396,                0.00109,                0.00109,                0.00109
                     29,                0.81673,                0.58326,                 1.0966,                0.98649,                0.93591,                0.97458,                0.83791,                0.58026,                0.49566,                 1.0226,                0.00076,                0.00076,                0.00076
